index,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active_case
155785,155786,11/15/2020,Canarias,Spain,2020/11/16 05:25,19019,311,1537,17171
155786,155787,11/15/2020,Cantabria,Spain,2020/11/16 05:25,12708,274,2287,10147
155787,155788,11/15/2020,Capital District,Colombia,2020/11/16 05:25,346711,8113,321548,17050
155788,155789,11/15/2020,Caqueta,Colombia,2020/11/16 05:25,12437,431,11243,763
155789,155790,11/15/2020,Casanare,Colombia,2020/11/16 05:25,5984,131,5453,400
155790,155791,11/15/2020,Castilla - La Mancha,Spain,2020/11/16 05:25,76456,3545,6392,66519
155791,155792,11/15/2020,Castilla y Leon,Spain,2020/11/16 05:25,104785,4070,8716,91999
155792,155793,11/15/2020,Catalonia,Spain,2020/11/16 05:25,278161,7362,26203,244596
155793,155794,11/15/2020,Cauca,Colombia,2020/11/16 05:25,14665,406,13212,1047
155794,155795,11/15/2020,Cayman Islands,UK,2020/11/16 05:25,254,1,240,13
155795,155796,11/15/2020,Ceara,Brazil,2020/11/16 05:25,285301,9439,241466,34396
155796,155797,11/15/2020,Cesar,Colombia,2020/11/16 05:25,27979,860,25600,1519
155797,155798,11/15/2020,Ceuta,Spain,2020/11/16 05:25,2436,44,163,2229
155798,155799,11/15/2020,Chandigarh,India,2020/11/16 05:25,15804,248,14468,1088
155799,155800,11/15/2020,Channel Islands,UK,2020/11/16 05:25,1003,48,816,139
155800,155801,11/15/2020,Chechen Republic,Russia,2020/11/16 05:25,3138,51,2202,885
155801,155802,11/15/2020,Chelyabinsk Oblast,Russia,2020/11/16 05:25,21773,172,19182,2419
155802,155803,11/15/2020,Cherkasy Oblast,Ukraine,2020/11/16 05:25,12996,140,7146,5710
155803,155804,11/15/2020,Chernihiv Oblast,Ukraine,2020/11/16 05:25,11419,89,2593,8737
155804,155805,11/15/2020,Chernivtsi Oblast,Ukraine,2020/11/16 05:25,27917,551,12114,15252
155805,155806,11/15/2020,Chhattisgarh,India,2020/11/16 05:25,210534,2578,188869,19087
155806,155807,11/15/2020,Chiapas,Mexico,2020/11/16 05:25,7618,1170,0,6448
155807,155808,11/15/2020,Chiba,Japan,2020/11/16 05:25,5782,84,5091,607
155808,155809,11/15/2020,Chihuahua,Mexico,2020/11/16 05:25,24950,2748,0,22202
155809,155810,11/15/2020,Choco,Colombia,2020/11/16 05:25,4406,163,4073,170
155810,155811,11/15/2020,Chongqing,China,2020/11/16 05:25,589,6,582,1
155811,155812,11/15/2020,Chukotka Autonomous Okrug,Russia,2020/11/16 05:25,286,3,240,43
155812,155813,11/15/2020,Chuvashia Republic,Russia,2020/11/16 05:25,10939,197,9558,1184
155813,155814,11/15/2020,Ciudad de Mexico,Mexico,2020/11/16 05:25,179791,12593,0,167198
155814,155815,11/15/2020,Coahuila,Mexico,2020/11/16 05:25,37653,2836,0,34817
155815,155816,11/15/2020,Colima,Mexico,2020/11/16 05:25,6924,729,0,6195
155816,155817,11/15/2020,Colorado,US,2020/11/16 05:25,163417,2546,0,160871
155817,155818,11/15/2020,Connecticut,US,2020/11/16 05:25,88645,4737,0,83908
155818,155819,11/15/2020,Coquimbo,Chile,2020/11/16 05:25,12840,261,12508,71
155819,155820,11/15/2020,Cordoba,Colombia,2020/11/16 05:25,27546,1637,24835,1074
155820,155821,11/15/2020,Crimea Republic*,Ukraine,2020/11/16 05:25,12206,206,7805,4195
155821,155822,11/15/2020,Cundinamarca,Colombia,2020/11/16 05:25,47258,1322,43754,2182
155822,155823,11/15/2020,Curacao,Netherlands,2020/11/16 05:25,1340,2,928,410
155823,155824,11/15/2020,Cusco,Peru,2020/11/16 05:25,23216,470,0,22746
155824,155825,11/15/2020,Dadra and Nagar Haveli and Daman and Diu,India,2020/11/16 05:25,3291,2,3267,22
155825,155826,11/15/2020,Dagestan Republic,Russia,2020/11/16 05:25,17424,847,15608,969
155826,155827,11/15/2020,Dalarna,Sweden,2020/11/16 05:25,4554,186,0,4368
155827,155828,11/15/2020,Delaware,US,2020/11/16 05:25,28803,736,0,28067
155828,155829,11/15/2020,Delhi,India,2020/11/16 05:25,485405,7614,437801,39990
155829,155830,11/15/2020,Diamond Princess cruise ship,Canada,2020/11/16 05:25,0,1,0,-1
155830,155831,11/15/2020,Diamond Princess cruise ship,US,2020/11/16 05:25,49,0,0,49
155831,155832,11/15/2020,District of Columbia,US,2020/11/16 05:25,18977,660,0,18317
155832,155833,11/15/2020,Distrito Federal,Brazil,2020/11/16 05:25,219992,3817,210836,5339
155833,155834,11/15/2020,Dnipropetrovsk Oblast,Ukraine,2020/11/16 05:25,21222,587,8730,11905
155834,155835,11/15/2020,Donetsk Oblast,Ukraine,2020/11/16 05:25,16983,256,6893,9834
155835,155836,11/15/2020,Drenthe,Netherlands,2020/11/16 05:25,6503,96,0,6407
